cluster,memberCount
IfStatement-10-1,19
VariableDeclarationStatement-5-13,19
VariableDeclarationStatement-5-14,19
FieldDeclaration-5-3,19
ExpressionStatement-6-1,19
FieldDeclaration-4-1,18
VariableDeclarationStatement-6-2,18
TypeDeclaration-2-3,18
MethodDeclaration-6-3,18
FieldDeclaration-3-5,18
MethodDeclaration-13-0,18
ExpressionStatement-5-30,17
IfStatement-6-6,17
VariableDeclarationStatement-9-4,17
ExpressionStatement-3-4,17
IfStatement-12-0,17
ExpressionStatement-7-22,17
IfStatement-6-9,17
ExpressionStatement-8-9,17
ExpressionStatement-7-12,17
VariableDeclarationStatement-4-7,17
FieldDeclaration-6-4,17
ExpressionStatement-7-11,17
MethodDeclaration-3-1,17
EnhancedForStatement-2-0,17
VariableDeclarationStatement-3-3,17
ExpressionStatement-7-15,17
IfStatement-5-1,17
MethodDeclaration-7-1,16
ExpressionStatement-5-18,16
IfStatement-5-6,16
ReturnStatement-4-4,16
VariableDeclarationStatement-5-19,16
ExpressionStatement-5-50,16
ExpressionStatement-4-12,16
ExpressionStatement-5-17,16
ReturnStatement-3-2,16
ExpressionStatement-6-15,16
ExpressionStatement-6-22,16
ExpressionStatement-10-8,16
VariableDeclarationStatement-5-4,16
IfStatement-2-1,16
ExpressionStatement-7-6,16
FieldDeclaration-5-6,16
IfStatement-12-1,15
ExpressionStatement-6-18,15
ExpressionStatement-6-14,15
IfStatement-6-12,15
ReturnStatement-2-5,15
ExpressionStatement-5-33,15
ExpressionStatement-6-5,15
VariableDeclarationStatement-3-9,15
FieldDeclaration-8-1,15
VariableDeclarationStatement-8-13,15
VariableDeclarationStatement-10-5,14
ExpressionStatement-5-8,14
IfStatement-6-20,14
VariableDeclarationStatement-10-3,14
FieldDeclaration-11-1,14
CatchClause-4-0,14
VariableDeclarationStatement-10-7,14
ThrowStatement-4-2,14
FieldDeclaration-7-2,14
VariableDeclarationStatement-7-9,14
ExpressionStatement-7-21,14
VariableDeclarationStatement-2-3,14
SynchronizedStatement-2-0,14
VariableDeclarationStatement-7-10,14
ExpressionStatement-5-40,14
ExpressionStatement-4-23,14
ExpressionStatement-5-27,13
ExpressionStatement-5-34,13
FieldDeclaration-7-6,13
CatchClause-6-2,13
VariableDeclarationStatement-13-0,13
ExpressionStatement-5-24,13
MethodDeclaration-11-0,13
ExpressionStatement-5-39,13
VariableDeclarationStatement-8-9,13
VariableDeclarationStatement-8-3,13
ExpressionStatement-6-34,13
VariableDeclarationStatement-7-7,13
ReturnStatement-4-8,13
IfStatement-5-7,13
VariableDeclarationStatement-10-8,13
VariableDeclarationStatement-10-1,13
IfStatement-4-2,13
ReturnStatement-5-7,13
ExpressionStatement-8-34,13
TryStatement-7-0,13
VariableDeclarationStatement-6-10,13
ExpressionStatement-6-16,13
ExpressionStatement-9-6,13
IfStatement-8-9,12
IfStatement-8-5,12
VariableDeclarationStatement-5-26,12
TypeDeclaration-2-4,12
ExpressionStatement-10-4,12
ReturnStatement-4-3,12
ExpressionStatement-6-19,12
ExpressionStatement-8-8,12
ExpressionStatement-5-26,12
VariableDeclarationStatement-5-24,12
MethodDeclaration-3-4,12
FieldDeclaration-8-5,12
ExpressionStatement-7-19,12
IfStatement-3-11,12
VariableDeclarationStatement-7-12,12
MethodDeclaration-2-4,12
VariableDeclarationStatement-10-2,12
ExpressionStatement-8-6,11
ExpressionStatement-10-3,11
VariableDeclarationStatement-8-26,11
VariableDeclarationStatement-3-7,11
ExpressionStatement-8-12,11
VariableDeclarationStatement-5-44,11
VariableDeclarationStatement-6-5,11
MethodDeclaration-5-3,11
FieldDeclaration-3-4,11
ExpressionStatement-8-24,11
FieldDeclaration-3-3,11
FieldDeclaration-3-2,11
VariableDeclarationStatement-7-19,11
ExpressionStatement-4-20,11
VariableDeclarationStatement-4-6,11
TryStatement-46-0,11
ExpressionStatement-5-16,11
ExpressionStatement-9-2,11
FieldDeclaration-4-4,11
FieldDeclaration-7-8,11
ExpressionStatement-9-8,11
IfStatement-2-3,11
VariableDeclarationStatement-10-10,11
ReturnStatement-5-15,11
FieldDeclaration-5-10,11
VariableDeclarationStatement-9-15,11
ExpressionStatement-5-36,11
VariableDeclarationStatement-10-19,11
SynchronizedStatement-4-0,11
ExpressionStatement-5-52,11
ThrowStatement-4-3,11
VariableDeclarationStatement-9-12,11
ThrowStatement-2-1,11
TypeDeclaration-3-1,11
ReturnStatement-5-3,11
VariableDeclarationStatement-5-23,11
IfStatement-5-11,11
ReturnStatement-3-15,10
VariableDeclarationStatement-4-5,10
MethodDeclaration-4-4,10
ExpressionStatement-4-15,10
ExpressionStatement-5-29,10
FieldDeclaration-6-7,10
IfStatement-3-6,10
ReturnStatement-6-0,10
ExpressionStatement-8-0,10
VariableDeclarationStatement-7-23,10
VariableDeclarationStatement-7-16,10
MethodDeclaration-8-8,10
ReturnStatement-3-8,10
TypeDeclaration-6-0,10
ExpressionStatement-9-15,10
IfStatement-4-1,10
MethodDeclaration-6-6,10
IfStatement-5-8,10
VariableDeclarationStatement-6-1,10
MethodDeclaration-13-2,10
IfStatement-5-9,10
ExpressionStatement-8-25,10
ExpressionStatement-8-4,10
ExpressionStatement-8-13,10
ExpressionStatement-7-29,10
VariableDeclarationStatement-5-36,10
VariableDeclarationStatement-5-31,10
ExpressionStatement-7-27,10
IfStatement-10-9,10
IfStatement-8-12,10
IfStatement-5-5,10
VariableDeclarationStatement-8-21,10
MethodDeclaration-3-9,10
ReturnStatement-8-0,10
TryStatement-2-0,10
ExpressionStatement-6-48,10
ExpressionStatement-9-9,10
MethodDeclaration-3-7,10
ExpressionStatement-6-30,10
VariableDeclarationStatement-9-3,10
FieldDeclaration-3-6,9
VariableDeclarationStatement-5-15,9
VariableDeclarationStatement-5-43,9
ExpressionStatement-9-3,9
ExpressionStatement-5-49,9
ExpressionStatement-6-32,9
IfStatement-4-5,9
FieldDeclaration-13-5,9
VariableDeclarationStatement-11-1,9
VariableDeclarationStatement-3-12,9
FieldDeclaration-7-0,9
ReturnStatement-4-10,9
ReturnStatement-2-8,9
VariableDeclarationStatement-5-29,9
TypeDeclaration-3-2,9
TypeDeclaration-2-5,9
IfStatement-3-4,9
IfStatement-3-10,9
EnhancedForStatement-5-1,9
ReturnStatement-4-5,9
ExpressionStatement-5-28,9
