cluster,memberCount
ExpressionStatement-3-0-0-23,2
ExpressionStatement-3-0-0-49,2
ExpressionStatement-3-0-0-40,2
ExpressionStatement-3-0-0-47,2
ExpressionStatement-3-0-0-5,2
ExpressionStatement-3-0-0-22,2
ExpressionStatement-12-6-0-0,2
ExpressionStatement-4-3-0-5,2
ExpressionStatement-5-6-0-7,2
ExpressionStatement-5-6-0-3,2
TryStatement-4-2-0-0,2
ExpressionStatement-15-3-0-0,2
MethodDeclaration-4-1-0-2,2
ExpressionStatement-4-3-0-2,2
CatchClause-3-0-0-7,2
CatchClause-3-0-0-1,2
CatchClause-3-0-0-3,2
CatchClause-3-0-0-5,2
CatchClause-14-0-0-0,2
SwitchCase-4-0-0-0,2
TypeDeclaration-3-1-0-0,2
TypeDeclaration-2-1-1-3,2
TypeDeclaration-2-1-1-2,2
TypeDeclaration-5-0-0-0,2
ReturnStatement-9-3-0-0,2
ReturnStatement-11-2-0-0,2
ReturnStatement-7-4-0-1,2
ReturnStatement-6-2-0-1,2
ReturnStatement-23-0-0-0,2
ReturnStatement-4-2-2-0,2
ReturnStatement-4-2-2-1,2
ReturnStatement-3-3-0-20,2
ReturnStatement-3-3-0-18,2
ReturnStatement-3-3-0-9,2
ReturnStatement-3-3-0-0,2
ReturnStatement-3-3-0-11,2
ReturnStatement-3-3-0-7,2
ReturnStatement-3-3-0-16,2
ReturnStatement-3-3-0-6,2
ReturnStatement-3-3-0-17,2
ReturnStatement-3-3-0-1,2
ReturnStatement-3-3-0-10,2
CatchClause-3-0-0-6,2
CatchClause-3-0-0-9,2
ReturnStatement-3-3-0-8,2
CatchClause-4-0-1-0,2
VariableDeclarationStatement-18-0-0-1,2
VariableDeclarationStatement-7-0-3-0,2
VariableDeclarationStatement-7-0-3-1,2
VariableDeclarationStatement-7-0-3-3,2
VariableDeclarationStatement-7-0-3-2,2
VariableDeclarationStatement-6-3-0-0,2
VariableDeclarationStatement-8-11-4-0,2
VariableDeclarationStatement-4-0-0-1,2
VariableDeclarationStatement-4-0-0-3,2
VariableDeclarationStatement-4-0-0-2,2
VariableDeclarationStatement-3-0-0-9,2
VariableDeclarationStatement-3-0-0-0,2
VariableDeclarationStatement-3-0-0-11,2
VariableDeclarationStatement-3-0-0-7,2
VariableDeclarationStatement-3-0-0-6,2
VariableDeclarationStatement-3-0-0-1,2
VariableDeclarationStatement-3-0-0-10,2
VariableDeclarationStatement-3-0-0-8,2
VariableDeclarationStatement-3-0-0-4,2
VariableDeclarationStatement-3-0-0-3,2
VariableDeclarationStatement-3-0-0-12,2
VariableDeclarationStatement-3-0-0-13,2
VariableDeclarationStatement-3-0-0-5,2
VariableDeclarationStatement-12-1-0-0,2
SuperConstructorInvocation-6-0-0-0,2
SuperConstructorInvocation-4-0-0-0,2
CatchClause-9-1-0-0,2
ReturnStatement-3-3-0-19,2
ReturnStatement-3-3-0-21,2
ExpressionStatement-4-3-0-3,2
ForStatement-19-0-0-0,2
WhileStatement-8-0-0-0,2
EnhancedForStatement-16-1-0-0,2
EnhancedForStatement-4-1-0-0,2
EnhancedForStatement-3-0-0-0,2
EnhancedForStatement-2-0-1-0,2
EnhancedForStatement-2-0-1-1,2
EnhancedForStatement-14-1-0-0,2
ConstructorInvocation-13-0-0-0,2
ConstructorInvocation-5-0-0-0,2
MethodDeclaration-35-1-0-0,2
MethodDeclaration-42-0-0-0,2
MethodDeclaration-6-2-0-0,2
MethodDeclaration-54-0-0-0,2
MethodDeclaration-4-1-0-0,2
MethodDeclaration-4-1-0-1,2
VariableDeclarationStatement-18-0-0-0,2
MethodDeclaration-3-2-0-2,2
MethodDeclaration-12-9-0-0,2
MethodDeclaration-14-0-0-0,2
ExpressionStatement-9-2-0-1,2
ExpressionStatement-11-42-0-0,2
ExpressionStatement-16-4-0-0,2
ExpressionStatement-26-1-0-0,2
ExpressionStatement-8-25-2-0,2
ExpressionStatement-4-3-0-6,2
ExpressionStatement-4-3-0-1,2
ExpressionStatement-4-3-0-4,2
WhileStatement-17-0-0-0,2
IfStatement-22-1-0-0,2
ReturnStatement-3-3-0-4,2
IfStatement-5-3-0-2,2
ReturnStatement-3-3-0-15,2
ReturnStatement-3-3-0-3,2
ReturnStatement-3-3-0-12,2
ReturnStatement-3-3-0-2,2
ReturnStatement-3-3-0-13,2
ReturnStatement-3-3-0-5,2
ReturnStatement-3-3-0-14,2
ReturnStatement-3-3-0-22,2
ReturnStatement-2-0-2-2,2
ReturnStatement-13-1-0-0,2
SynchronizedStatement-7-0-0-0,2
SynchronizedStatement-4-0-0-1,2
SynchronizedStatement-12-0-0-0,2
SynchronizedStatement-2-0-0-0,2
IfStatement-18-10-0-0,2
IfStatement-9-0-1-0,2
IfStatement-11-0-2-0,2
IfStatement-29-0-0-0,2
IfStatement-74-0-0-0,2
IfStatement-19-1-0-0,2
IfStatement-4-4-1-0,2
IfStatement-3-1-0-0,2
IfStatement-3-1-0-2,2
IfStatement-13-3-0-0,2
IfStatement-5-3-0-0,2
IfStatement-5-3-0-1,2
IfStatement-5-3-0-3,2
FieldDeclaration-5-2-1-0,2
