cluster,memberCount
ReturnStatement-5-15-1,4
VariableDeclarationStatement-18-0-0,4
VariableDeclarationStatement-4-0-2,4
VariableDeclarationStatement-4-0-5,4
FieldDeclaration-15-0-0,4
IfStatement-7-5-2,4
TryStatement-4-2-0,4
TryStatement-28-0-0,4
FieldDeclaration-9-0-0,4
ExpressionStatement-28-0-0,4
IfStatement-10-30-0,4
TypeDeclaration-4-0-1,4
VariableDeclarationStatement-5-2-5,4
MethodDeclaration-15-1-0,4
IfStatement-37-0-0,4
MethodDeclaration-20-4-0,4
MethodDeclaration-5-8-0,4
FieldDeclaration-14-4-0,4
ExpressionStatement-23-0-0,3
EnumDeclaration-9-0-0,3
ExpressionStatement-2-0-11,3
MethodDeclaration-16-5-0,3
ExpressionStatement-12-6-0,3
ExpressionStatement-3-0-3,3
ExpressionStatement-3-0-4,3
MethodDeclaration-12-9-0,3
ExpressionStatement-8-25-1,3
MethodDeclaration-22-2-0,3
MethodDeclaration-46-0-0,3
IfStatement-9-0-3,3
ExpressionStatement-2-0-14,3
TypeDeclaration-8-0-0,3
ExpressionStatement-10-9-0,3
IfStatement-9-0-0,3
EnhancedForStatement-18-0-0,3
IfStatement-69-0-0,3
SwitchStatement-2-0-0,3
SynchronizedStatement-2-0-1,3
SynchronizedStatement-3-5-0,3
ThrowStatement-8-0-0,3
ReturnStatement-5-15-0,3
ReturnStatement-15-0-0,3
ReturnStatement-4-2-3,3
FieldDeclaration-6-0-2,3
TryStatement-3-0-0,3
FieldDeclaration-17-0-0,3
CatchClause-6-2-1,3
CatchClause-7-0-0,3
CatchClause-20-0-0,3
FieldDeclaration-4-3-0,3
VariableDeclarationStatement-5-2-7,3
VariableDeclarationStatement-13-2-0,3
VariableDeclarationStatement-12-1-0,3
VariableDeclarationStatement-15-2-0,3
FieldDeclaration-3-0-2,3
VariableDeclarationStatement-8-11-0,3
IfStatement-7-5-0,3
AssertStatement-3-0-0,3
IfStatement-3-1-1,3
IfStatement-19-1-0,3
WhileStatement-12-0-0,3
ForStatement-3-0-0,3
ExpressionStatement-14-2-0,3
TryStatement-16-0-0,3
IfStatement-15-1-0,3
TryStatement-8-0-0,3
IfStatement-46-0-0,3
TryStatement-38-0-0,3
ExpressionStatement-19-4-0,3
IfStatement-17-6-0,3
ThrowStatement-9-1-0,2
TryStatement-6-0-0,2
TryStatement-14-0-0,2
ExpressionStatement-24-0-0,2
ExpressionStatement-2-0-15,2
ExpressionStatement-21-0-0,2
TryStatement-11-4-0,2
ExpressionStatement-8-25-2,2
ExpressionStatement-2-0-12,2
FieldDeclaration-4-3-1,2
TryStatement-18-2-0,2
TryStatement-20-0-0,2
ExpressionStatement-26-1-0,2
TryStatement-24-0-0,2
TryStatement-13-1-0,2
FieldDeclaration-3-0-1,2
ExpressionStatement-5-6-7,2
TryStatement-12-1-0,2
TryStatement-6-0-1,2
